Data file,,DELRINNC010_PDMS_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/12/2016,,,,,,,,,,
Lubricant,,PDMS,,,,,,,,,,
Specimens,,POM NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:19:44 on 01/12/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:23:41,6,1795,237.5,0.26,13.3,6,14.8,0.04,10,0.6,0.25
,14:23:42,6,1795,238.5,0.26,13.3,7,14.9,0.038,10,0.6,0.25
,14:23:43,6,1795,239.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:23:44,6,1795,240.5,0.25,13.3,7,14.9,0.037,10,0.6,0.24
,14:23:45,6,1795,241.5,0.25,13.3,7,14.9,0.035,10,0.6,0.24
,14:23:46,6,1795,242.5,0.25,13.3,7,14.9,0.035,10,0.6,0.24
,14:23:47,6,1795,243.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:23:48,6,1795,244.5,0.25,13.3,6,14.9,0.039,10,0.6,0.24
,14:23:49,6,1795,245.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:23:50,6,1795,246.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:23:51,6,1795,247.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:23:52,6,1795,248.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:23:53,6,1795,249.5,0.25,13.3,7,14.9,0.035,10,0.6,0.24
,14:23:54,6,1795,250.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:23:55,6,1795,251.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:23:56,6,1795,252.5,0.26,13.3,7,14.9,0.038,10,0.6,0.25
,14:23:57,6,1795,253.5,0.26,13.3,7,14.9,0.038,10,0.6,0.25
,14:23:58,6,1795,254.5,0.26,13.3,7,14.9,0.038,10,0.6,0.25
,14:23:59,6,1795,255.5,0.26,13.3,7,14.9,0.037,10,0.5,0.25
,14:24:00,6,1795,256.5,0.26,13.3,7,14.9,0.037,10,0.5,0.25
,14:24:01,6,1795,257.5,0.26,13.3,7,14.9,0.039,10,0.6,0.25
,14:24:02,6,1795,258.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:24:03,6,1795,259.5,0.25,13.3,7,14.9,0.037,10,0.6,0.24
,14:24:04,6,1795,260.5,0.25,13.3,7,14.9,0.036,10,0.6,0.24
,14:24:05,6,1795,261.5,0.25,13.3,7,14.9,0.037,10,0.6,0.24
,14:24:06,6,1795,262.5,0.25,13.3,7,14.9,0.038,10,0.5,0.24
,14:24:07,6,1795,263.5,0.26,13.3,6,14.9,0.04,10,0.5,0.25
,14:24:08,6,1795,264.5,0.26,13.3,7,14.9,0.039,10,0.6,0.25
,14:24:09,6,1795,265.5,0.26,13.3,7,14.9,0.038,10,0.6,0.25
,14:24:10,6,1795,266.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:24:11,6,1795,267.5,0.25,13.3,7,14.9,0.038,10,0.6,0.24
,14:24:12,6,1795,268.5,0.26,13.3,7,14.9,0.037,10,0.5,0.25
,14:24:13,6,1795,269.5,0.26,13.3,7,14.9,0.037,10,0.5,0.25
,14:24:14,6,1795,270.5,0.26,13.3,7,14.9,0.038,10,0.5,0.25
,14:24:15,6,1795,271.5,0.26,13.3,7,14.8,0.036,10,0.5,0.25
