Data file,,DELRINNC010_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,31/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:45:01 on 31/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:18:02,4,3600,1980.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:18:03,4,3600,1981.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.9
,15:18:04,4,3600,1982.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:18:05,4,3600,1983.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:18:06,4,3600,1984.5,0.97,13.3,7,-7.1,0.135,10,0.5,0.91
,15:18:07,4,3600,1985.5,0.97,13.3,7,-7.1,0.131,10,0.5,0.91
,15:18:08,4,3600,1986.5,0.97,13.3,7,-7.1,0.13,10,0.5,0.91
,15:18:09,4,3600,1987.5,0.97,13.3,7,-7.1,0.135,10,0.5,0.91
,15:18:10,4,3600,1988.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:18:11,4,3600,1989.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:18:12,4,3600,1990.5,0.96,13.3,7,-7.1,0.145,10,0.5,0.9
,15:18:13,4,3600,1991.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:18:14,4,3600,1992.5,0.96,13.3,7,-7.2,0.139,10,0.5,0.9
,15:18:15,4,3600,1993.5,0.96,13.3,7,-7.2,0.144,10,0.5,0.9
