Data file,,DELRIN500AF_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:44:08 on 04/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:48:17,4,3600,243.5,1.14,13.3,7,-7.7,0.171,10,0.1,1.07
,15:48:18,4,3600,244.5,1.14,13.3,7,-7.7,0.171,10,0.1,1.06
,15:48:19,4,3600,245.5,1.14,13.3,6,-7.7,0.178,10,0.1,1.07
,15:48:20,4,3600,246.5,1.14,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:21,4,3600,247.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:22,4,3600,248.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:23,4,3600,249.5,1.14,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:25,4,3600,250.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:26,4,3600,251.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.08
,15:48:27,4,3600,252.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:28,4,3600,253.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:48:29,4,3600,254.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:48:30,4,3600,255.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:31,4,3600,256.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:32,4,3600,257.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:33,4,3600,258.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:34,4,3600,259.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:48:35,4,3600,260.5,1.16,13.3,7,-7.7,0.174,10,0.1,1.08
,15:48:36,4,3600,261.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:48:37,4,3600,262.5,1.17,13.3,7,-7.7,0.168,10,0.1,1.09
,15:48:38,4,3600,263.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:48:39,4,3600,264.5,1.16,13.3,7,-7.7,0.174,10,0.1,1.09
,15:48:40,4,3600,265.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:48:41,4,3600,266.5,1.17,13.3,7,-7.7,0.169,10,0.1,1.09
,15:48:42,4,3600,267.5,1.17,13.3,7,-7.7,0.169,10,0.1,1.09
,15:48:43,4,3600,268.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:48:44,4,3600,269.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:48:45,4,3600,270.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:48:46,4,3600,271.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:48:47,4,3600,272.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:48:48,4,3600,273.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:48:49,4,3600,274.5,1.16,13.3,7,-7.7,0.161,10,0.1,1.09
,15:48:50,4,3600,275.5,1.16,13.3,7,-7.7,0.162,10,0.1,1.09
,15:48:51,4,3600,276.5,1.16,13.3,7,-7.7,0.156,10,0.1,1.09
,15:48:52,4,3600,277.5,1.16,13.3,7,-7.7,0.162,10,0.1,1.09
,15:48:53,4,3600,278.5,1.16,13.3,7,-7.7,0.161,10,0.1,1.08
,15:48:54,4,3600,279.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.07
,15:48:55,4,3600,280.5,1.14,13.3,7,-7.7,0.171,10,0.1,1.07
,15:48:56,4,3600,281.5,1.14,13.3,7,-7.7,0.171,10,0.1,1.07
,15:48:57,4,3600,282.5,1.14,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:58,4,3600,283.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:48:59,4,3600,284.5,1.14,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:00,4,3600,285.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:01,4,3600,286.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:02,4,3600,287.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:03,4,3600,288.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:04,4,3600,289.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:05,4,3600,290.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:49:06,4,3600,291.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:07,4,3600,292.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:08,4,3600,293.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.08
,15:49:09,4,3600,294.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:10,4,3600,295.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.07
,15:49:11,4,3600,296.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:49:12,4,3600,297.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:13,4,3600,298.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:14,4,3600,299.5,1.16,13.3,7,-7.7,0.174,10,0.1,1.08
,15:49:15,4,3600,300.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:16,4,3600,301.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:17,4,3600,302.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:18,4,3600,303.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:19,4,3600,304.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:20,4,3600,305.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:21,4,3600,306.5,1.16,13.3,7,-7.7,0.174,10,0.1,1.08
,15:49:22,4,3600,307.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:23,4,3600,308.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:24,4,3600,309.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:25,4,3600,310.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:26,4,3600,311.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:27,4,3600,312.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:28,4,3600,313.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:29,4,3600,314.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:30,4,3600,315.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:31,4,3600,316.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:32,4,3600,317.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:33,4,3600,318.5,1.17,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:34,4,3600,319.5,1.17,13.3,7,-7.7,0.169,10,0.1,1.09
,15:49:35,4,3600,320.5,1.17,13.3,7,-7.7,0.169,10,0.1,1.09
,15:49:36,4,3600,321.5,1.16,13.3,7,-7.7,0.168,10,0.1,1.09
,15:49:37,4,3600,322.5,1.16,13.3,7,-7.7,0.162,10,0.1,1.09
,15:49:38,4,3600,323.5,1.16,13.3,7,-7.7,0.162,10,0.1,1.09
,15:49:39,4,3600,324.5,1.16,13.3,7,-7.7,0.156,10,0.1,1.09
,15:49:40,4,3600,325.5,1.16,13.3,7,-7.7,0.162,10,0.1,1.09
,15:49:41,4,3600,326.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.08
,15:49:42,4,3600,327.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:43,4,3600,328.5,1.14,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:44,4,3600,329.5,1.15,13.3,7,-7.7,0.172,10,0.1,1.07
,15:49:45,4,3600,330.5,1.15,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:46,4,3600,331.5,1.16,13.3,7,-7.7,0.173,10,0.1,1.08
,15:49:47,4,3600,332.5,1.16,13.3,7,-7.7,0.174,10,0.1,1.08
,15:49:48,4,3600,333.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
,15:49:49,4,3600,334.5,1.16,13.3,7,-7.7,0.167,10,0.1,1.08
