Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:44:40,4,3600,309.6,1.3,13.3,7,10.7,0.175,10,0,1.22
,12:44:41,4,3600,310.6,1.3,13.3,7,10.7,0.181,10,0,1.22
,12:44:42,4,3600,311.6,1.29,13.3,7,10.7,0.194,10,0,1.21
,12:44:43,4,3600,312.6,1.28,13.3,7,10.7,0.193,10,0,1.2
,12:44:44,4,3600,313.6,1.28,13.3,7,10.7,0.193,10,0,1.2
,12:44:45,4,3600,314.6,1.29,13.3,7,10.7,0.194,10,0,1.21
,12:44:46,4,3600,315.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:47,4,3600,316.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:48,4,3600,317.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:49,4,3600,318.6,1.3,13.3,7,10.7,0.188,10,0,1.22
,12:44:50,4,3600,319.6,1.3,13.3,7,10.7,0.182,10,0,1.22
,12:44:51,4,3600,320.6,1.3,13.3,7,10.7,0.175,10,0,1.22
,12:44:52,4,3600,321.6,1.3,13.3,7,10.7,0.181,10,0,1.22
,12:44:53,4,3600,322.6,1.29,13.3,7,10.7,0.187,10,0.1,1.21
,12:44:54,4,3600,323.6,1.28,13.3,7,10.7,0.192,10,0,1.2
,12:44:55,4,3600,324.6,1.28,13.3,7,10.7,0.191,10,0,1.2
,12:44:56,4,3600,325.6,1.28,13.3,7,10.7,0.192,10,0,1.2
,12:44:57,4,3600,326.6,1.29,13.3,7,10.7,0.186,10,0,1.21
,12:44:58,4,3600,327.6,1.29,13.3,7,10.7,0.187,10,0,1.21
,12:44:59,4,3600,328.6,1.3,13.3,7,10.7,0.195,10,0,1.21
,12:45:00,4,3600,329.6,1.3,13.3,7,10.7,0.188,10,0,1.22
,12:45:01,4,3600,330.6,1.3,13.3,7,10.7,0.181,10,0,1.21
,12:45:02,4,3600,331.6,1.29,13.3,7,10.7,0.18,10,0,1.21
,12:45:03,4,3600,332.6,1.28,13.3,7,10.7,0.193,10,0.1,1.2
,12:45:04,4,3600,333.6,1.28,13.3,6,10.7,0.2,10,0,1.2
,12:45:05,4,3600,334.6,1.28,13.3,6,10.7,0.2,10,0,1.2
,12:45:06,4,3600,335.6,1.29,13.3,7,10.7,0.193,10,0.1,1.21
,12:45:07,4,3600,336.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:45:08,4,3600,337.6,1.3,13.3,7,10.7,0.188,10,0,1.22
,12:45:09,4,3600,338.6,1.3,13.3,7,10.7,0.188,10,0.1,1.22
,12:45:10,4,3600,339.6,1.29,13.3,7,10.7,0.187,10,0,1.21
,12:45:11,4,3600,340.6,1.29,13.3,7,10.7,0.194,10,0,1.21
,12:45:12,4,3600,341.6,1.29,13.3,7,10.7,0.186,10,0.1,1.21
,12:45:13,4,3600,342.6,1.29,13.3,7,10.7,0.186,10,0,1.21
