Data file,,PEEK_DRY_T18_PE2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,27/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:02:49 on 27/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_dry_t18_pe2-h001.tsv,,,,,,,,,,
,13:07:16,5,3590,266.9,3.81,13.3,7,21,0.572,10,49.9,3.68
,13:07:17,5,3590,267.9,3.83,13.3,7,21,0.553,10,49.9,3.7
,13:07:18,5,3590,268.9,3.9,13.3,7,21,0.564,10,49.9,3.78
,13:07:19,5,3590,269.9,3.98,13.3,7,21,0.555,10,49.9,3.85
,13:07:20,5,3590,270.9,4.03,13.3,7,21,0.582,10,49.9,3.9
,13:07:21,5,3590,271.9,4.05,13.3,7,21,0.585,10,49.9,3.91
,13:07:22,5,3590,272.9,4.07,13.3,7,21,0.587,10,49.8,3.93
,13:07:23,5,3590,273.9,4.09,13.3,7,21,0.57,10,49.9,3.96
,13:07:24,5,3590,274.9,4.13,13.3,7,21,0.575,10,49.9,3.99
,13:07:25,5,3590,275.9,4.14,13.3,7,21,0.557,10,49.9,4
,13:07:26,5,3590,276.9,4.12,13.3,7,21,0.574,10,49.9,3.98
,13:07:27,5,3590,277.9,4.06,13.3,7,21,0.587,10,49.9,3.91
,13:07:28,5,3590,278.9,3.99,13.3,7,21,0.598,10,49.9,3.85
,13:07:29,5,3590,279.9,3.97,13.3,7,21,0.574,10,49.9,3.84
,13:07:30,5,3590,280.9,4.01,13.3,7,21,0.579,10,49.9,3.87
,13:07:31,5,3590,281.9,4.05,13.3,7,21,0.586,10,49.8,3.92
,13:07:32,5,3590,282.9,4.05,13.3,7,22,0.586,10,49.9,3.91
,13:07:33,5,3590,283.9,4.06,13.3,7,22,0.586,10,49.9,3.92
,13:07:34,5,3590,284.9,4.08,13.3,7,22,0.568,10,49.9,3.94
,13:07:35,5,3590,285.9,4.12,13.3,7,22,0.554,10,49.9,3.98
,13:07:36,5,3590,286.9,4.15,13.3,7,22,0.559,10,49.9,4.01
,13:07:37,5,3590,287.9,4.16,13.3,7,22,0.579,10,49.9,4.01
,13:07:38,5,3590,288.9,4.14,13.3,7,21,0.577,10,49.9,4
,13:07:39,5,3590,289.9,4.14,13.3,7,21,0.557,10,49.9,4
,13:07:40,5,3590,290.9,4.13,13.3,7,21,0.576,10,49.9,3.99
,13:07:41,5,3590,291.9,4.11,13.3,7,21,0.572,10,49.8,3.96
,13:07:42,5,3590,292.9,4.07,13.3,7,21,0.589,10,49.9,3.93
,13:07:43,5,3590,293.9,4.07,13.3,7,21,0.566,10,49.9,3.93
,13:07:44,5,3590,294.9,4.08,13.3,7,21,0.549,10,49.9,3.94
,13:07:45,5,3590,295.9,4.09,13.3,7,21,0.55,10,49.9,3.95
,13:07:46,5,3590,296.9,4.09,13.3,7,21,0.57,10,49.9,3.95
,13:07:47,5,3590,297.9,4.09,13.3,7,21,0.591,10,49.9,3.95
,13:07:48,5,3590,298.9,4.11,13.3,7,21,0.593,10,49.9,3.97
,13:07:49,5,3590,299.9,4.14,13.3,7,21,0.577,10,49.9,4.01
,13:07:50,5,3590,300.9,4.18,13.3,7,22,0.604,10,49.9,4.04
,13:07:51,5,3590,301.9,4.22,13.3,7,22,0.609,10,49.9,4.08
,13:07:52,5,3590,302.9,4.23,13.3,7,22,0.59,10,49.9,4.09
,13:07:53,5,3590,303.9,4.24,13.3,7,22,0.59,10,49.9,4.09
,13:07:54,5,3590,304.9,4.23,13.3,7,22,0.589,10,49.9,4.08
,13:07:55,5,3590,305.9,4.23,13.3,7,22,0.611,10,49.9,4.08
,13:07:56,5,3590,306.9,4.24,13.3,7,21,0.612,10,49.9,4.09
,13:07:57,5,3590,307.9,4.26,13.3,7,21,0.616,10,49.9,4.12
,13:07:58,5,3590,308.9,4.3,13.3,7,22,0.621,10,49.9,4.15
,13:07:59,5,3590,309.9,4.33,13.3,7,22,0.625,10,49.9,4.18
,13:08:00,5,3590,310.9,4.34,13.3,7,22,0.605,10,49.9,4.2
,13:08:01,5,3590,311.9,4.36,13.3,7,22,0.607,10,49.9,4.21
,13:08:02,5,3590,312.9,4.37,13.3,7,21,0.632,10,49.9,4.22
,13:08:03,5,3590,313.9,4.37,13.3,7,21,0.631,10,49.9,4.22
,13:08:04,5,3590,314.9,4.33,13.3,7,21,0.649,10,49.9,4.17
,13:08:05,5,3590,315.9,4.3,13.3,7,22,0.599,10,49.9,4.15
,13:08:06,5,3590,316.9,4.28,13.3,7,22,0.576,10,49.9,4.13
,13:08:07,5,3590,317.9,4.27,13.3,7,22,0.575,10,49.9,4.12
,13:08:08,5,3590,318.9,4.24,13.3,7,21,0.591,10,49.9,4.09
,13:08:09,5,3590,319.9,4.23,13.3,7,21,0.589,10,49.9,4.08
,13:08:10,5,3590,320.9,4.23,13.3,7,21,0.611,10,49.8,4.08
,13:08:11,5,3590,321.9,4.25,13.3,7,22,0.613,10,49.9,4.1
,13:08:12,5,3590,322.9,4.26,13.3,7,21,0.593,10,49.9,4.11
,13:08:13,5,3590,323.9,4.27,13.3,7,22,0.595,10,49.9,4.12
,13:08:14,5,3590,324.9,4.27,13.3,7,21,0.595,10,49.8,4.12
,13:08:15,5,3590,325.9,4.27,13.3,7,21,0.617,10,49.8,4.13
,13:08:16,5,3590,326.9,4.3,13.3,7,21,0.621,10,49.9,4.15
,13:08:17,5,3590,327.9,4.34,13.3,7,22,0.604,10,49.8,4.19
,13:08:18,5,3590,328.9,4.39,13.3,7,22,0.611,10,49.9,4.24
,13:08:19,5,3590,329.9,4.39,13.3,7,22,0.612,10,49.9,4.24
,13:08:20,5,3590,330.9,4.39,13.3,7,22,0.611,10,49.8,4.24
,13:08:21,5,3590,331.9,4.37,13.3,7,22,0.632,10,49.9,4.22
,13:08:22,5,3590,332.9,4.38,13.3,7,22,0.61,10,49.9,4.23
,13:08:23,5,3590,333.9,4.4,13.3,7,22,0.613,10,49.9,4.25
,13:08:24,5,3590,334.9,4.42,13.3,7,22,0.595,10,49.9,4.27
