Data file,,DELRINNC010-UNHONED_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,12/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DelrinNC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 13:26:42 on 12/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:43:04,6,3590,980.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:43:05,6,3590,981.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:43:06,6,3590,982.1,0.28,13.3,7,10,0.04,10,49.9,0.27
,13:43:07,6,3590,983.1,0.28,13.3,7,10,0.04,10,49.8,0.27
,13:43:08,6,3590,984.1,0.28,13.3,7,10,0.039,10,49.9,0.27
,13:43:09,6,3590,985.1,0.28,13.3,7,10,0.038,10,49.9,0.27
,13:43:10,6,3590,986.1,0.27,13.3,7,10,0.039,10,49.8,0.26
,13:43:11,6,3590,987.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:43:12,6,3590,988.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:43:13,6,3590,989.1,0.27,13.3,6,10,0.042,10,49.9,0.26
,13:43:14,6,3590,990.1,0.28,13.3,6,10.1,0.043,10,49.9,0.27
,13:43:15,6,3590,991.1,0.28,13.3,7,10.1,0.041,10,49.9,0.27
,13:43:16,6,3590,992.1,0.28,13.3,7,10.1,0.04,10,49.8,0.27
,13:43:17,6,3590,993.1,0.28,13.3,7,10.1,0.039,10,49.9,0.27
,13:43:18,6,3590,994.1,0.28,13.3,7,10.1,0.037,10,49.9,0.27
,13:43:19,6,3590,995.1,0.28,13.3,7,10.1,0.038,10,49.9,0.26
,13:43:20,6,3590,996.1,0.27,13.3,7,10.1,0.04,10,49.9,0.26
,13:43:21,6,3590,997.1,0.27,13.3,7,10.1,0.041,10,49.9,0.26
,13:43:22,6,3590,998.1,0.28,13.3,7,10.1,0.041,10,49.9,0.27
,13:43:23,6,3590,999.1,0.27,13.3,7,10.1,0.041,10,49.9,0.26
,13:43:24,6,3590,1000.1,0.27,13.3,7,10.1,0.04,10,49.9,0.26
,13:43:25,6,3590,1001.1,0.28,13.3,7,10.1,0.041,10,49.9,0.26
,13:43:26,6,3590,1002.1,0.28,13.3,7,10.2,0.041,10,49.9,0.27
,13:43:27,6,3590,1003.1,0.28,13.3,7,10.2,0.041,10,49.9,0.27
,13:43:28,6,3590,1004.1,0.28,13.3,7,10.2,0.04,10,49.9,0.27
,13:43:29,6,3590,1005.1,0.28,13.3,7,10.2,0.04,10,49.9,0.27
,13:43:30,6,3590,1006.1,0.28,13.3,7,10.2,0.037,10,49.9,0.27
,13:43:31,6,3590,1007.1,0.28,13.3,7,10.2,0.037,10,49.9,0.27
,13:43:32,6,3590,1008.1,0.28,13.3,7,10.2,0.037,10,49.9,0.27
,13:43:33,6,3590,1009.1,0.27,13.3,7,10.2,0.038,10,49.9,0.26
,13:43:34,6,3590,1010.1,0.27,13.3,7,10.2,0.04,10,49.8,0.26
,13:43:35,6,3590,1011.1,0.27,13.3,7,10.3,0.04,10,49.9,0.26
,13:43:36,6,3590,1012.1,0.27,13.3,7,10.3,0.039,10,49.9,0.26
,13:43:37,6,3590,1013.1,0.27,13.3,6,10.3,0.042,10,49.9,0.26
,13:43:38,6,3590,1014.1,0.27,13.3,6,10.3,0.042,10,49.9,0.26
,13:43:39,6,3590,1015.1,0.27,13.3,6,10.3,0.043,10,49.9,0.26
,13:43:40,6,3590,1016.1,0.27,13.3,6,10.3,0.043,10,49.8,0.26
,13:43:41,6,3590,1017.1,0.27,13.3,7,10.3,0.041,10,49.8,0.26
,13:43:42,6,3590,1018.1,0.27,13.3,7,10.3,0.04,10,49.8,0.26
,13:43:43,6,3590,1019.1,0.28,13.3,7,10.3,0.041,10,49.9,0.27
,13:43:44,6,3590,1020.1,0.28,13.3,7,10.3,0.041,10,49.9,0.27
,13:43:45,6,3590,1021.1,0.27,13.3,7,10.4,0.041,10,49.9,0.26
,13:43:46,6,3590,1022.1,0.28,13.3,7,10.4,0.041,10,49.9,0.27
,13:43:47,6,3590,1023.1,0.28,13.3,7,10.4,0.04,10,49.9,0.27
,13:43:48,6,3590,1024.1,0.28,13.3,7,10.4,0.04,10,49.9,0.27
,13:43:49,6,3590,1025.1,0.28,13.3,7,10.4,0.04,10,49.9,0.27
,13:43:50,6,3590,1026.1,0.28,13.3,7,10.4,0.04,10,49.9,0.27
,13:43:51,6,3590,1027.1,0.27,13.3,7,10.4,0.04,10,49.9,0.26
,13:43:52,6,3590,1028.1,0.27,13.3,7,10.5,0.04,10,49.8,0.26
,13:43:53,6,3590,1029.1,0.27,13.3,7,10.5,0.038,10,49.8,0.26
,13:43:54,6,3590,1030.1,0.27,13.3,7,10.5,0.038,10,49.9,0.26
,13:43:55,6,3590,1031.1,0.27,13.3,7,10.5,0.04,10,49.9,0.26
,13:43:56,6,3590,1032.1,0.28,13.3,7,10.5,0.041,10,49.9,0.27
,13:43:57,6,3590,1033.1,0.28,13.3,7,10.5,0.041,10,49.8,0.27
,13:43:58,6,3590,1034.1,0.27,13.3,7,10.5,0.041,10,49.9,0.26
,13:43:59,6,3590,1035.1,0.27,13.3,7,10.5,0.04,10,49.9,0.26
,13:44:00,6,3590,1036.1,0.27,13.3,7,10.5,0.04,10,49.8,0.26
,13:44:01,6,3590,1037.1,0.28,13.3,7,10.5,0.041,10,49.8,0.27
,13:44:02,6,3590,1038.1,0.28,13.3,7,10.6,0.042,10,49.8,0.27
,13:44:03,6,3590,1039.1,0.28,13.3,7,10.6,0.042,10,49.9,0.27
,13:44:04,6,3590,1040.1,0.28,13.3,7,10.6,0.042,10,49.9,0.27
,13:44:05,6,3590,1041.1,0.28,13.3,7,10.6,0.042,10,49.9,0.27
,13:44:06,6,3590,1042.1,0.28,13.3,7,10.6,0.042,10,49.9,0.27
,13:44:07,6,3590,1043.1,0.28,13.3,7,10.6,0.042,10,49.8,0.27
,13:44:08,6,3590,1044.1,0.28,13.3,7,10.7,0.042,10,49.9,0.27
,13:44:09,6,3590,1045.1,0.28,13.3,7,10.7,0.041,10,49.9,0.27
,13:44:10,6,3590,1046.1,0.28,13.3,7,10.7,0.041,10,49.8,0.27
,13:44:11,6,3590,1047.1,0.28,13.3,7,10.7,0.04,10,49.9,0.27
,13:44:12,6,3590,1048.1,0.28,13.3,7,10.7,0.038,10,49.9,0.27
,13:44:13,6,3590,1049.1,0.28,13.3,7,10.7,0.037,10,49.8,0.27
,13:44:14,6,3590,1050.1,0.27,13.3,7,10.7,0.038,10,49.9,0.26
,13:44:15,6,3590,1051.1,0.27,13.3,7,10.8,0.041,10,49.9,0.26
,13:44:16,6,3590,1052.1,0.27,13.3,7,10.8,0.041,10,49.9,0.26
,13:44:17,6,3590,1053.1,0.27,13.3,6,10.8,0.042,10,49.9,0.26
,13:44:18,6,3590,1054.1,0.27,13.3,6,10.8,0.042,10,49.9,0.26
,13:44:19,6,3590,1055.1,0.27,13.3,6,10.8,0.043,10,49.8,0.27
,13:44:20,6,3590,1056.1,0.28,13.3,7,10.8,0.041,10,49.9,0.27
,13:44:21,6,3590,1057.1,0.28,13.3,7,10.8,0.04,10,49.9,0.26
,13:44:22,6,3590,1058.1,0.27,13.3,7,10.9,0.038,10,49.9,0.26
,13:44:23,6,3590,1059.1,0.27,13.3,7,10.9,0.039,10,49.9,0.26
,13:44:24,6,3590,1060.1,0.27,13.3,7,10.9,0.039,10,49.9,0.26
