Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:46:57,4,3600,264.2,1.1,13.3,7,11.5,0.165,10,0.1,1.03
,12:46:58,4,3600,265.2,1.1,13.3,7,11.5,0.165,10,0,1.03
,12:46:59,4,3600,266.2,1.1,13.3,7,11.5,0.165,10,0.1,1.03
,12:47:00,4,3600,267.2,1.1,13.3,7,11.5,0.159,10,0.1,1.03
,12:47:01,4,3600,268.2,1.11,13.3,7,11.5,0.16,10,0,1.03
,12:47:02,4,3600,269.2,1.1,13.3,7,11.5,0.159,10,0,1.03
,12:47:03,4,3600,270.2,1.1,13.3,7,11.5,0.159,10,0,1.03
,12:47:04,4,3600,271.2,1.1,13.3,7,11.5,0.158,10,0.1,1.03
,12:47:05,4,3600,272.2,1.1,13.3,7,11.5,0.153,10,0,1.03
,12:47:06,4,3600,273.2,1.1,13.3,7,11.5,0.153,10,0,1.03
,12:47:07,4,3600,274.2,1.1,13.3,7,11.5,0.158,10,0,1.03
,12:47:08,4,3600,275.2,1.09,13.3,7,11.5,0.152,10,0,1.02
,12:47:09,4,3600,276.2,1.09,13.3,7,11.5,0.152,10,0.1,1.02
,12:47:10,4,3600,277.2,1.09,13.3,7,11.5,0.146,10,0.1,1.02
,12:47:11,4,3600,278.2,1.08,13.3,7,11.5,0.15,10,0.1,1.01
,12:47:12,4,3600,279.2,1.08,13.3,7,11.5,0.15,10,0,1.01
,12:47:13,4,3600,280.2,1.07,13.3,7,11.5,0.155,10,0.1,1
,12:47:14,4,3600,281.2,1.07,13.3,7,11.5,0.149,10,0,1
,12:47:15,4,3600,282.2,1.07,13.3,7,11.5,0.154,10,0.1,1
,12:47:16,4,3600,283.2,1.07,13.3,7,11.5,0.154,10,0.1,1
,12:47:17,4,3600,284.2,1.07,13.3,7,11.5,0.154,10,0,1
,12:47:18,4,3600,285.2,1.07,13.3,7,11.5,0.149,10,0.1,1
,12:47:19,4,3600,286.2,1.06,13.3,7,11.5,0.148,10,0.1,1
,12:47:20,4,3600,287.2,1.06,13.3,7,11.5,0.147,10,0,0.99
,12:47:21,4,3600,288.2,1.05,13.3,7,11.5,0.146,10,0.1,0.98
,12:47:22,4,3600,289.2,1.04,13.3,7,11.5,0.151,10,0.1,0.98
,12:47:23,4,3600,290.2,1.05,13.3,7,11.5,0.151,10,0,0.98
,12:47:24,4,3600,291.2,1.05,13.3,7,11.5,0.157,10,0.1,0.98
,12:47:25,4,3600,292.2,1.05,13.3,7,11.5,0.157,10,0,0.98
,12:47:26,4,3600,293.2,1.05,13.3,7,11.5,0.157,10,0,0.98
,12:47:27,4,3600,294.2,1.04,13.3,7,11.5,0.157,10,0,0.98
,12:47:28,4,3600,295.2,1.05,13.3,6,11.5,0.163,10,0,0.98
,12:47:29,4,3600,296.2,1.05,13.3,7,11.5,0.157,10,0.1,0.99
,12:47:30,4,3600,297.2,1.05,13.3,7,11.5,0.158,10,0.1,0.99
,12:47:31,4,3600,298.2,1.06,13.3,7,11.5,0.159,10,0,0.99
,12:47:32,4,3600,299.2,1.06,13.3,7,11.6,0.159,10,0,0.99
,12:47:33,4,3600,300.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:34,4,3600,301.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:35,4,3600,302.2,1.05,13.3,7,11.6,0.152,10,0,0.99
,12:47:36,4,3600,303.2,1.06,13.3,7,11.6,0.159,10,0,0.99
,12:47:37,4,3600,304.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:38,4,3600,305.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:39,4,3600,306.2,1.06,13.3,7,11.6,0.153,10,0.1,0.99
,12:47:40,4,3600,307.2,1.06,13.3,7,11.6,0.159,10,0.1,0.99
,12:47:41,4,3600,308.2,1.06,13.3,7,11.6,0.159,10,0.1,0.99
,12:47:42,4,3600,309.2,1.06,13.3,7,11.6,0.153,10,0.1,0.99
,12:47:43,4,3600,310.2,1.06,13.3,7,11.6,0.159,10,0,0.99
,12:47:44,4,3600,311.2,1.06,13.3,7,11.6,0.154,10,0,1
,12:47:45,4,3600,312.2,1.06,13.3,7,11.6,0.154,10,0.1,1
,12:47:46,4,3600,313.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:47,4,3600,314.2,1.05,13.3,7,11.6,0.158,10,0,0.99
,12:47:48,4,3600,315.2,1.05,13.3,7,11.6,0.158,10,0,0.99
,12:47:49,4,3600,316.2,1.05,13.3,7,11.6,0.158,10,0,0.99
,12:47:50,4,3600,317.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:51,4,3600,318.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:52,4,3600,319.2,1.05,13.3,7,11.6,0.158,10,0,0.99
,12:47:53,4,3600,320.2,1.05,13.3,7,11.6,0.158,10,0,0.99
,12:47:54,4,3600,321.2,1.05,13.3,7,11.6,0.157,10,0.1,0.98
,12:47:55,4,3600,322.2,1.04,13.3,7,11.6,0.157,10,0.1,0.98
,12:47:56,4,3600,323.2,1.04,13.3,7,11.6,0.157,10,0.1,0.98
,12:47:57,4,3600,324.2,1.05,13.3,7,11.6,0.152,10,0.1,0.99
,12:47:58,4,3600,325.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:47:59,4,3600,326.2,1.06,13.3,7,11.6,0.148,10,0,0.99
,12:48:00,4,3600,327.2,1.06,13.3,7,11.6,0.153,10,0,0.99
,12:48:01,4,3600,328.2,1.06,13.3,7,11.6,0.147,10,0,0.99
,12:48:02,4,3600,329.2,1.06,13.3,7,11.6,0.147,10,0,0.99
,12:48:03,4,3600,330.2,1.05,13.3,7,11.6,0.147,10,0,0.99
,12:48:04,4,3600,331.2,1.06,13.3,7,11.6,0.153,10,0.1,0.99
,12:48:05,4,3600,332.2,1.05,13.3,7,11.6,0.152,10,0.1,0.99
,12:48:06,4,3600,333.2,1.05,13.3,7,11.6,0.152,10,0,0.98
,12:48:07,4,3600,334.2,1.05,13.3,7,11.6,0.151,10,0,0.98
,12:48:08,4,3600,335.2,1.04,13.3,7,11.7,0.151,10,0.1,0.98
,12:48:09,4,3600,336.2,1.05,13.3,7,11.7,0.151,10,0.1,0.98
,12:48:10,4,3600,337.2,1.04,13.3,7,11.7,0.15,10,0,0.98
,12:48:11,4,3600,338.2,1.04,13.3,7,11.7,0.155,10,0.1,0.97
,12:48:12,4,3600,339.2,1.03,13.3,7,11.7,0.149,10,0.1,0.97
,12:48:13,4,3600,340.2,1.03,13.3,7,11.7,0.149,10,0.1,0.97
,12:48:14,4,3600,341.2,1.03,13.3,7,11.7,0.149,10,0,0.97
,12:48:15,4,3600,342.2,1.03,13.3,7,11.7,0.148,10,0,0.96
,12:48:16,4,3600,343.2,1.03,13.3,7,11.7,0.154,10,0,0.96
,12:48:17,4,3600,344.2,1.03,13.3,7,11.7,0.154,10,0,0.96
,12:48:18,4,3600,345.2,1.03,13.3,7,11.7,0.155,10,0,0.97
,12:48:19,4,3600,346.2,1.04,13.3,7,11.7,0.155,10,0.1,0.97
,12:48:20,4,3600,347.2,1.04,13.3,6,11.7,0.162,10,0,0.97
,12:48:21,4,3600,348.2,1.04,13.3,6,11.7,0.169,10,0.1,0.98
,12:48:22,4,3600,349.2,1.05,13.3,6,11.7,0.17,10,0,0.98
,12:48:23,4,3600,350.2,1.05,13.3,7,11.7,0.158,10,0.1,0.99
,12:48:24,4,3600,351.2,1.06,13.3,7,11.8,0.16,10,0,1
,12:48:25,4,3600,352.2,1.07,13.3,7,11.7,0.161,10,0,1
,12:48:26,4,3600,353.2,1.07,13.3,7,11.8,0.161,10,0,1
,12:48:27,4,3600,354.2,1.07,13.3,7,11.8,0.161,10,0,1
,12:48:28,4,3600,355.2,1.08,13.3,7,11.8,0.155,10,0,1.01
,12:48:29,4,3600,356.2,1.08,13.3,7,11.8,0.156,10,0,1.01
,12:48:30,4,3600,357.2,1.08,13.3,7,11.8,0.162,10,0,1.01
,12:48:31,4,3600,358.2,1.08,13.3,7,11.8,0.155,10,0,1.01
,12:48:32,4,3600,359.2,1.08,13.3,7,11.8,0.156,10,0,1.01
,12:48:33,4,3600,360.2,1.08,13.3,7,11.8,0.156,10,0,1.01
,12:48:34,4,3600,361.2,1.08,13.3,7,11.8,0.156,10,0,1.01
