s,,DELRIN_DRY_T12_PO5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:55:56 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_dry_t12_po5-h001.tsv,,,,,,,,,,
,16:01:28,5,3590,331.6,2.47,13.3,7,23,0.357,10,49.9,2.38
,16:01:29,5,3590,332.6,2.47,13.3,7,23,0.343,10,49.9,2.38
,16:01:30,5,3590,333.6,2.47,13.3,7,22,0.343,10,49.9,2.38
,16:01:31,5,3590,334.6,2.46,13.3,7,23,0.343,10,49.8,2.38
,16:01:32,5,3590,335.6,2.47,13.3,7,22,0.343,10,49.8,2.38
,16:01:33,5,3590,336.6,2.47,13.3,7,22,0.356,10,49.9,2.38
,16:01:34,5,3590,337.6,2.47,13.3,7,22,0.357,10,49.8,2.38
,16:01:35,5,3590,338.6,2.47,13.3,7,22,0.357,10,49.9,2.39
,16:01:36,5,3590,339.6,2.47,13.3,7,22,0.344,10,49.9,2.39
,16:01:37,5,3590,340.6,2.47,13.3,7,23,0.344,10,49.8,2.39
,16:01:38,5,3590,341.6,2.47,13.3,7,23,0.357,10,49.8,2.38
,16:01:39,5,3590,342.6,2.47,13.3,7,23,0.357,10,49.8,2.39
,16:01:40,5,3590,343.6,2.47,13.3,7,23,0.357,10,49.9,2.39
,16:01:41,5,3590,344.6,2.47,13.3,7,23,0.356,10,49.9,2.38
,16:01:42,5,3590,345.6,2.46,13.3,7,23,0.356,10,49.9,2.38
,16:01:43,5,3590,346.6,2.46,13.3,7,23,0.356,10,49.9,2.38
,16:01:44,5,3590,347.6,2.47,13.3,7,22,0.357,10,49.8,2.39
,16:01:45,5,3590,348.6,2.48,13.3,7,22,0.358,10,49.9,2.39
,16:01:46,5,3590,349.6,2.48,13.3,7,22,0.345,10,49.9,2.39
