Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:08:58,5,3590,196.2,0.68,13.3,7,21,0.094,10,49.8,0.66
,14:08:59,5,3590,197.2,0.68,13.3,7,21,0.095,10,49.8,0.66
,14:09:00,5,3590,198.2,0.69,13.3,7,21,0.1,10,49.8,0.67
,14:09:01,5,3590,199.2,0.7,13.3,7,21,0.101,10,49.8,0.68
,14:09:02,5,3590,200.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:09:03,5,3590,201.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:09:04,5,3590,202.2,0.71,13.3,7,22,0.102,10,49.8,0.68
,14:09:05,5,3590,203.2,0.71,13.3,7,22,0.102,10,49.8,0.69
,14:09:06,5,3590,204.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:07,5,3590,205.2,0.73,13.3,7,21,0.105,10,49.8,0.7
,14:09:08,5,3590,206.2,0.74,13.3,7,22,0.102,10,49.8,0.71
,14:09:09,5,3590,207.2,0.74,13.3,7,21,0.107,10,49.8,0.71
,14:09:10,5,3590,208.2,0.73,13.3,7,21,0.101,10,49.8,0.7
,14:09:11,5,3590,209.2,0.72,13.3,7,21,0.1,10,49.8,0.7
,14:09:12,5,3590,210.2,0.72,13.3,7,21,0.096,10,49.8,0.69
,14:09:13,5,3590,211.2,0.72,13.3,7,21,0.097,10,49.8,0.7
,14:09:14,5,3590,212.2,0.72,13.3,7,21,0.101,10,49.8,0.7
,14:09:15,5,3590,213.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:16,5,3590,214.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:17,5,3590,215.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:18,5,3590,216.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:19,5,3590,217.2,0.73,13.3,7,21,0.101,10,49.8,0.7
,14:09:20,5,3590,218.2,0.72,13.3,7,21,0.1,10,49.8,0.7
,14:09:21,5,3590,219.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:22,5,3590,220.2,0.72,13.3,7,21,0.104,10,49.8,0.7
,14:09:23,5,3590,221.2,0.73,13.3,7,21,0.102,10,49.8,0.7
,14:09:24,5,3590,222.2,0.73,13.3,7,21,0.102,10,49.8,0.71
,14:09:25,5,3590,223.2,0.74,13.3,7,21,0.102,10,49.8,0.71
,14:09:26,5,3590,224.2,0.74,13.3,7,21,0.103,10,49.8,0.71
