Data file,,RA0.3_PAO_-8C_003_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:20:59 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,17:00:26,4,3600,2367.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:27,4,3600,2368.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:28,4,3600,2369.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:29,4,3600,2370.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,17:00:30,4,3600,2371.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:31,4,3600,2372.1,2.09,13.3,9,-6.7,0.226,10,0.2,1.88
,17:00:32,4,3600,2373.1,2.08,13.3,9,-6.8,0.226,10,0.2,1.88
,17:00:33,4,3600,2374.1,2.09,13.3,9,-6.8,0.22,10,0.2,1.88
,17:00:34,4,3600,2375.1,2.09,13.3,9,-6.8,0.22,10,0.2,1.88
,17:00:35,4,3600,2376.1,2.08,13.3,9,-6.8,0.226,10,0.2,1.88
,17:00:36,4,3600,2377.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:00:37,4,3600,2378.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:38,4,3600,2379.1,2.07,13.3,9,-6.8,0.237,10,0.2,1.87
,17:00:39,4,3600,2380.1,2.07,13.3,9,-6.8,0.237,10,0.2,1.87
,17:00:40,4,3600,2381.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:41,4,3600,2382.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:42,4,3600,2383.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:43,4,3600,2384.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:44,4,3600,2385.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.88
,17:00:45,4,3600,2386.1,2.09,13.3,9,-6.8,0.226,10,0.2,1.88
,17:00:46,4,3600,2387.1,2.08,13.3,9,-6.8,0.225,10,0.2,1.88
,17:00:47,4,3600,2388.1,2.07,13.3,9,-6.8,0.219,10,0.2,1.87
,17:00:48,4,3600,2389.1,2.07,13.3,9,-6.8,0.218,10,0.2,1.87
,17:00:49,4,3600,2390.1,2.07,13.3,9,-6.8,0.225,10,0.2,1.87
,17:00:50,4,3600,2391.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:00:51,4,3600,2392.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:00:52,4,3600,2393.1,2.07,13.3,9,-6.8,0.23,10,0.2,1.86
,17:00:53,4,3600,2394.1,2.06,13.3,9,-6.8,0.237,10,0.2,1.86
,17:00:54,4,3600,2395.1,2.06,13.3,9,-6.8,0.236,10,0.2,1.86
,17:00:55,4,3600,2396.1,2.06,13.3,9,-6.8,0.237,10,0.2,1.86
,17:00:56,4,3600,2397.1,2.07,13.3,9,-6.8,0.237,10,0.2,1.87
,17:00:57,4,3600,2398.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:00:58,4,3600,2399.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.88
,17:01:00,4,3600,2400.1,2.08,13.3,9,-6.8,0.225,10,0.2,1.88
,17:01:01,4,3600,2401.1,2.08,13.3,9,-6.8,0.225,10,0.2,1.87
,17:01:02,4,3600,2402.1,2.07,13.3,9,-6.8,0.225,10,0.2,1.87
