Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:57:08,6,21600,268.4,0.27,13.3,7,11.8,0.039,10,0.7,0.26
,09:57:09,6,21600,269.4,0.27,13.3,7,11.8,0.037,10,0.7,0.26
,09:57:10,6,21600,270.4,0.27,13.3,7,11.8,0.037,10,0.7,0.26
,09:57:11,6,21600,271.4,0.27,13.3,7,11.9,0.039,10,0.7,0.26
,09:57:12,6,21600,272.4,0.27,13.3,7,11.9,0.041,10,0.7,0.27
,09:57:13,6,21600,273.4,0.27,13.3,6,11.9,0.043,10,0.7,0.27
,09:57:14,6,21600,274.4,0.27,13.3,6,11.9,0.043,10,0.7,0.27
,09:57:15,6,21600,275.4,0.27,13.3,7,11.9,0.039,10,0.7,0.27
,09:57:16,6,21600,276.4,0.27,13.3,7,12,0.039,10,0.7,0.26
,09:57:17,6,21600,277.4,0.27,13.3,7,12,0.039,10,0.7,0.26
,09:57:18,6,21600,278.4,0.27,13.3,7,12,0.04,10,0.7,0.26
,09:57:19,6,21600,279.4,0.27,13.3,7,12,0.039,10,0.7,0.26
,09:57:20,6,21600,280.4,0.27,13.3,7,12,0.039,10,0.7,0.26
,09:57:21,6,21600,281.4,0.27,13.3,7,12,0.038,10,0.7,0.26
,09:57:22,6,21600,282.4,0.27,13.3,7,12.1,0.039,10,0.7,0.26
