Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:39:33,4,3600,322.5,0.52,13.3,7,10.8,0.075,10,0.1,0.49
,11:39:34,4,3600,323.5,0.52,13.3,7,10.8,0.078,10,0.1,0.49
,11:39:35,4,3600,324.5,0.52,13.3,7,10.8,0.078,10,0.1,0.49
,11:39:37,4,3600,325.5,0.51,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:38,4,3600,326.5,0.51,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:39,4,3600,327.5,0.51,13.3,7,10.8,0.074,10,0.1,0.48
,11:39:41,4,3600,328.5,0.51,13.3,7,10.8,0.073,10,0.1,0.48
,11:39:42,4,3600,329.5,0.51,13.3,7,10.8,0.073,10,0.1,0.48
,11:39:43,4,3600,330.5,0.51,13.3,7,10.8,0.071,10,0.1,0.48
,11:39:45,4,3600,331.5,0.51,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:46,4,3600,332.5,0.51,13.3,7,10.8,0.076,10,0.1,0.48
,11:39:47,4,3600,333.5,0.51,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:48,4,3600,334.5,0.51,13.3,7,10.8,0.073,10,0.1,0.48
,11:39:50,4,3600,335.5,0.51,13.3,7,10.8,0.076,10,0.1,0.48
,11:39:51,4,3600,336.5,0.51,13.3,7,10.8,0.074,10,0.1,0.48
