Data file,,PRELIM_SORONA_DRY_001.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,17/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTT,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 25,,,,,,,,,,,,
Test started at 16:28:33 on 17/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,prelim_sorona_dry_001-h001.tsv,,,,,,,,,,
,16:32:10,5,10790,216.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:11,5,10790,217.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:12,5,10790,218.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:13,5,10790,219.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:14,5,10790,220.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:15,5,10790,221.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:16,5,10790,222.9,10.2,13.3,25,22,0.414,10,49.9,9.85
,16:32:17,5,10790,223.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:18,5,10790,224.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:19,5,10790,225.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:20,5,10790,226.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:21,5,10790,227.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:22,5,10790,228.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:23,5,10790,229.9,10.2,13.3,25,22,0.406,10,50,9.85
,16:32:24,5,10790,230.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:25,5,10790,231.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:26,5,10790,232.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:27,5,10790,233.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:28,5,10790,234.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:29,5,10790,235.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:30,5,10790,236.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:32:31,5,10790,237.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:32:32,5,10790,238.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:32:33,5,10790,239.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:34,5,10790,240.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:32:35,5,10790,241.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:36,5,10790,242.9,10.2,13.3,25,22,0.414,10,49.9,9.85
,16:32:37,5,10790,243.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:38,5,10790,244.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:39,5,10790,245.9,10.2,13.3,25,23,0.415,10,49.9,9.85
,16:32:40,5,10790,246.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:41,5,10790,247.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:42,5,10790,248.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:43,5,10790,249.9,10.2,13.3,25,23,0.414,10,49.8,9.85
,16:32:44,5,10790,250.9,10.2,13.3,25,22,0.414,10,49.9,9.85
,16:32:45,5,10790,251.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:46,5,10790,252.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:47,5,10790,253.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:48,5,10790,254.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:49,5,10790,255.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:50,5,10790,256.9,10.2,13.3,25,23,0.414,10,49.9,9.85
,16:32:51,5,10790,257.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:52,5,10790,258.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:53,5,10790,259.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:54,5,10790,260.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:55,5,10790,261.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:56,5,10790,262.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:57,5,10790,263.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:58,5,10790,264.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:32:59,5,10790,265.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:00,5,10790,266.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:01,5,10790,267.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:02,5,10790,268.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:03,5,10790,269.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:04,5,10790,270.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:05,5,10790,271.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:06,5,10790,272.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:07,5,10790,273.9,10.2,13.3,25,22,0.41,10,49.9,9.85
